Título Hotmart,Título Mapeamento,Similaridade
Tradução no esporte ou esporte na tradução?,Tradução no esporte ou esporte na tradução?,1.0
Live sobre normas — Normas ISO/NBR para Tradução e Interpretação: e agora?,Normas ISO/NBR para Tradução e Interpretação: e agora?,0.84375
Maratona — Os melhores clientes esperam por você no LinkedIn,Os melhores clientes esperam por você no LinkedIn,0.8990825688073395
Maratona — Negociação avançada — Palestra atualizada,Negociação avançada — Palestra atualizada,0.8817204301075269
Maratona — Transcriação (tradução criativa) — O que os clientes realmente querem do tradutor,Transcriação (tradução criativa) — O que os clientes realmente querem do tradutor,0.9364161849710982
CULT-Estácio — Como se especializar em tradução audiovisual,Como se especializar em tradução audiovisual,0.8543689320388349
CULT-Estácio — Localização em marketing: mais do que apenas criatividade,Localização em marketing: mais do que apenas criatividade,0.8837209302325582
CULT-Estácio — A importância da especialização na tradução da área médica,A importância da especialização na tradução da área médica,0.8854961832061069
CULT-Estácio — Tradução de textos da área médica: uma receita de sucesso,Tradução de textos da área médica: uma receita de sucesso,0.8837209302325582
"IOGA — Cuidados com face, ombros, braços e mãos","Cuidados com face, ombros, braços, mãos e cadeira",0.8
O que leva a uma carreira bem-sucedida na tradução?,O que leva a uma carreira bem-sucedida na tradução?,1.0
Oficina de tradução de HQs,Oficina de tradução de HQs,1.0
Oficina — Tradução e edição de literatura especulativa: estudo de casos,Tradução e edição de literatura especulativa: estudo de casos,0.9242424242424242
Os desafios da interpretação nos eventos esportivos,Os desafios da interpretação nos eventos esportivos,1.0
Aula prática de tradução/localização de texto de turismo e viagem,Aula prática de tradução/localização de texto de turismo e viagem,1.0
Audiodescrição rima com tradução de muitas maneiras além da sonoridade,Audiodescrição rima com tradução de muitas maneiras além da sonoridade,1.0
Traduzindo jogos de tabuleiro,Traduzindo jogos de tabuleiro,1.0
O fantástico mundo da pesquisa clínica,O fantástico mundo da pesquisa clínica,1.0
Que tal aprender como fazer seu próprio glossário?,Que tal aprender como fazer seu próprio glossário?,1.0
Notas: muito além dos símbolos,Notas: muito além dos símbolos,1.0
Localização de jogos de tabuleiro,Localização de jogos de tabuleiro,1.0
Tradução automática na tradução técnica: testamos uma abordagem,Tradução automática na tradução técnica: testamos uma abordagem,1.0
Tradução de patentes: por onde começar?,Tradução de patentes: por onde começar?,1.0
O papel da revisão na tradução,O papel da revisão na tradução,1.0
Em busca da naturalidade,Em busca da naturalidade,1.0
Tradutores euprendedores e o relacionamento com o cliente,Tradutores euprendedores e o relacionamento com o cliente,1.0
Os desafios da produção editorial de best-sellers,Os desafios da produção editorial de best-sellers,1.0
Traduzir RPG é sempre um desafio,Traduzir RPG é sempre um desafio,1.0
Legendagem especializada: foco no gênero institucional,Legendagem especializada: foco no gênero institucional,1.0
Rock’n roll x livros (histórias+idiomas+mistura cultural) ideias = tradutora literária,Rock’n roll x livros (histórias+idiomas+mistura cultural) ideias = tradutora literária,1.0
Línguas estrangeiras + negócios + tecnologia = tradução e interpretação,Palestra nº 100 — Línguas estrangeiras + negócios + tecnologia = tradução e interpretação,0.8875
Interpretação Espanhol-Português e a Tecnologia!,Interpretação Espanhol <> Português e a Tecnologia!,0.9494949494949495
Kit de sobrevivência: Vinte dicas pra se manter na tradução — Andressa Gatto,Kit de sobrevivência: Vinte dicas pra se manter na tradução,0.8740740740740741
"Linguagem inclusiva: gênero, política e linguagem — Ana Elisa Ribeiro","Linguagem inclusiva: gênero, política e linguagem",0.8305084745762712
"Afinal, o que é gramática? — Amanda Moura","Afinal, o que é gramática?",0.7761194029850746
"Traduttore, traditore e manipolatore - uma palestra em português brasileiro — Letícia Sallorenzo","Traduttore, traditore e manipolatore - uma palestra em português brasileiro",0.8771929824561403
Como fazer para sempre lembrar dos termos nas suas línguas? — Denise Araujo,Como fazer para sempre lembrar dos termos nas suas línguas?,0.8805970149253731
O Diário de Mika acessível em libras — Juliana Fernandes,O Diário de Mika acessível em libras,0.782608695652174
Linguística e Tradução: entre tapas e beijos — Meritxell Almarza,Linguística e Tradução: entre tapas e beijos,0.8148148148148148
Interpretação Comunitária: um instrumento de acesso a direitos fundamentais — Mylene Queiroz e Jaque,Interpretação Comunitária: um instrumento de acesso a direitos fundamentais,0.8571428571428571
Interpretação Comunitária: um instrumento de acesso a direitos fundamentais — Mylene Queiroz e Jaque,Interpretação Comunitária: um instrumento de acesso a direitos fundamentais,0.8571428571428571
Como a tecnologia facilita a vida do tradutor — Rafa Lombardino,Como a tecnologia facilita a vida do tradutor,0.8333333333333334
Sprechen Sie Deutsch? Dois tradutores brasileiros na Alemanha — Bete Köninger e Marcos Zattar,Sprechen Sie Deutsch? Dois tradutores brasileiros na Alemanha,0.7922077922077922
A importância das ferramentas digitais para a tradução — Valter Mendes JR.,A importância das ferramentas digitais para a tradução,0.84375
A importância dos Guias de Estilo na tradução — Roberta Jenkins,A importância dos Guias de Estilo na tradução,0.8333333333333334
Tradução animal! Uma ou duas coisinhas que você precisa saber antes de se aventurar nos tex,Tradução animal! Uma ou duas coisinhas que você precisa saber antes de se aventurar nos textos de medicina veterinária,0.8708133971291866
Qualidade da tradução na era da revolução tecnológica — Aline Tomasuolo,Qualidade da tradução na era da revolução tecnológica,0.8548387096774194
Línguas de trabalho: o que são e como mantê-las afiadas — Christiano Sanches,Línguas de trabalho: o que são e como mantê-las afiadas,0.8396946564885496
"Arquivar, organizar e traduzir — Any Marry","Arquivar, organizar e traduzir",0.8333333333333334
O método Starbucks aplicado ao mundo da tradução — Aline Tomasuolo,O método Starbucks aplicado ao mundo da tradução,0.8421052631578947
Termos de negócios e finanças que todo tradutor deve conhecer — Isa Mara Lando,Termos de negócios e finanças que todo tradutor deve conhecer,0.8776978417266187
"Esports e jogos digitais competitivos — O que são, por que são importantes e casos de tradução e int","Esports e jogos digitais competitivos - O que são, por que são importantes e casos de tradução e interpretação",0.9428571428571428
Inventar o trabalho dos outros? — Carlos Rutz,Inventar o trabalho dos outros?,0.8157894736842105
Interpretando Altas Autoridades — Cláudia Chauvet,Interpretando Altas Autoridades,0.775
Minha (nenhuma) tradução é perfeita. Como aprender com a preparação de texto — Jana e Fernanda,MINHA nenhuma tradução é perfeita. Como aprender com a preparação de texto,0.8333333333333334
Um passeio pela construção da literatura norte-americana —Tereza Marques de Oliveira Lima,Um passeio pela construção da literatura norte-americana,0.7724137931034483
O nascimento e o renascimento da literatura traduzida — Ellen Maria,O nascimento e o renascimento da literatura traduzida,0.8833333333333333
Da tradução à versão: novos desafios para uma tradutora emigrante — Simone Campos,Da tradução à versão: novos desafios para uma tradutora emigrante,0.8904109589041096
Mais de 10 maneiras de traduzir provérbios e expressões idiomáticas — Reginaldo Francisco,10+ maneiras de traduzir provérbios e expressões idiomáticas,0.7919463087248322
A interpretação consecutiva e outras práticas que te tornam um melhor intérprete de simultânea,A interpretação consecutiva e outras práticas que te tornam um melhor intérprete de simultânea,1.0
TQAuditor grátis para tradutores — Jean Trindade,TQAuditor grátis para tradutores,0.8
Interpretação de auditorias e acompanhamento — Carmen Reis,Interpretação de auditorias e acompanhamento,0.8627450980392157
Desafios ao traduzir um artigo científico do inglês indiano ao português — Sofia Pulici,Desafios ao traduzir um artigo científico do inglês indiano ao português,0.9056603773584906
A importância do networking para o tradutor — Felipe Tomasi,A importância do networking para o tradutor,0.8431372549019608
Como é o credenciamento para intérpretes na UE: requisitos e a prova — Alexandra de Vries,Como é o credenciamento para intérpretes na UE: requisitos e a prova,0.8662420382165605
Tradutor: um eterno aprendiz — Cláudia Fleith,Tradutor: um eterno aprendiz,0.7671232876712328
Tradução pública: como era e como ficou após a nova legislação — Jorge Rodrigues,Tradução pública: como era e como ficou após a nova legislação,0.8732394366197183
Tradução criativa na localização de jogos — Ivan L. Lopes,Tradução criativa na localização de jogos,0.8367346938775511
Montando passo a passo uma macro no Word — Victor Almeida,Montando passo a passo uma macro no Word,0.8247422680412371
Como a dramaturgia influencia a tradução audiovisual — Jacqueline Plaça,Como a dramaturgia influencia a tradução audiovisual,0.8455284552845529
Exorcize o seu texto: acabe com os possuídos! — Cláudia Mello Belhassof,Exorcize o seu texto: acabe com os possuídos!,0.7758620689655172
Rebranding: como se reinventar – sem reinventar a roda — Ana Carolina Ribeiro,Rebranding: como se reinventar – sem reinventar a roda,0.8244274809160306
Exemplos práticos de multiculturalismo na tradução de inglês e português — Stephan Hughes,Exemplos práticos de multiculturalismo na tradução de inglês e português,0.8944099378881988
"Comunicação Acessível: Estratégias para integrar a acessibilidade a teatro, redes sociais, palestras","Comunicação Acessível: Estratégias para integrar a acessibilidade a teatro, redes sociais, palestras e outras formas de diálogo",0.8810572687224669
I've Known Rivers - A tradução e o mercado editorial sob a perspectiva negra — Karine Ribeiro,I've Known Rivers - A tradução e o mercado editorial sob a perspectiva negra,0.8994082840236687
Para (não) audaciosos: por uma Poética do Traduzir — Amanda Moura,Para (não) audaciosos: por uma Poética do Traduzir,0.8695652173913043
Por que preciso pensar sobre racismo se não sou racista? — Patricia Souza,Por que preciso pensar sobre racismo se não sou racista?,0.8682170542635659
Interpretação de texto e tradução — Natalie Gerhardt,Interpretação de texto e tradução,0.7764705882352941
"A arte da alta produtividade Insights para empresários, profissionais liberais e autônomos — André R","“A arte da alta produtividade”Insights para empresários, profissionais liberais e autônomos",0.9319371727748691
O papel dos revisores na produção de livros didáticos — Marianna La Vega,O Papel dos Revisores na Produção de Livros Didáticos,0.768
Traduzindo um relatório do século XVIII sobre vampiros — Andressa Furlan Ferreira,Traduzindo um relatório do século XVIII sobre vampiros,0.8
"O gênero neutro está presente. E você, está no Presente ou no passado? — Thiago Hilger","O gênero neutro está presente. E você, está no Presente ou no passado?",0.8974358974358975
Jon Fosse no Brasil: A tradução de É a Ales — Guilherme da Silva Braga,Jon Fosse no Brasil: A tradução de É a Ales,0.7610619469026548
"Prospecção de Clientes, Networking e Marketing Pessoal para Tradutores Introvertidos — Ivar Panazzol","Prospecção de Clientes, Networking e Marketing Pessoal para Tradutores Introvertidos",0.9130434782608695
"Ensaio sobre a curiosidade: como os verbos errar, aprender e mudar devem ser um mantra","Ensaio sobre a curiosidade: como os verbos errar, aprender e mudar devem ser um mantra",1.0
Les casquettes du monde littéraire : navegando entre a criação e a tradução do texto. — Adriana F. M,Les casquettes du monde littéraire : navegando entre a criação e a tradução do texto.,0.918918918918919
ProZ KudoZ além dos Pontos: Perspectivas e Possibilidades — Matheus R. Chaud,ProZ KudoZ além dos Pontos: Perspectivas e Possibilidades,0.8571428571428571
De férias com o tradutor: Os desafios da tradução de reality shows — Will Xavier,De férias com o tradutor: Os desafios da tradução de reality shows,0.9041095890410958
"A tradução de obras audiovisuais derivadas na era transmídia: E agora, tradutor? — Paulo Noriega","A tradução de obras audiovisuais derivadas na era transmídia: E agora, tradutor?",0.9090909090909091
Tradução para dublagem de língua turca — Leandra Machado,Tradução para dublagem de língua turca,0.8085106382978723
Falando das pedras no caminho na tradução de ficção — Carlos César da Silva,Falando das pedras no caminho na tradução de ficção,0.8095238095238095
Percy Jackson e a adaptação na tradução intersemiótica do livro para a tela  — Bianca da Costa,Percy Jackson e a adaptação na tradução intersemiótica do livro para a tela.,0.8823529411764706
É rir para não chorar: Os desafios da tradução do humor na dublagem — Marun Reis,É rir para não chorar: Os desafios da tradução do humor na dublagem,0.9115646258503401
Como se preparar para um apocalipse zumbi — Denise Bobadilha,Como se preparar para o apocalipse zumbi,0.78
Direitos autorais para tradutores — Gabriela Colicigno,Direitos autorais para tradutores,0.7586206896551724
Enshittification: ou como nos acostumamos à degradação das plataformas online ,Enshittification: ou como nos acostumamos à degradação das plataformas online,0.9935483870967742
A Era da Informação (sob controle) — Roney Belhassof,A Era da Informação (sob controle),0.7906976744186046
O novo mercado de tradução: a revolução da inteligência artificial ,O novo mercado de tradução: a revolução da inteligência artificial,0.9924812030075187
A Tradução Financeira com Dinaura Julles — Dinaura Julles,A Tradução Financeira com Dinaura Julles,0.8247422680412371
A cabeça do tradutor de russo: O processo de tradução de um clássico da ficção científica — Robson ,A cabeça do tradutor de russo – O processo de tradução de um clássico da ficção científica.,0.9263157894736842
Who they are: Estratégias de tradução do gênero não binário — Karoline Melo,Who they are – Estratégias de tradução do gênero não binário.,0.8529411764705882
"Tradução jornalística, muito além das palavras — Katia Buffolo","Tradução jornalística, muito além das palavras",0.8518518518518519
Ask Me Anything about Interpretainment — Maria Paula Carvalho,Ask Me Anything about Interpretainment,0.7676767676767676
Portuguese into English? Brasileiros podem fazer versões de qualidade para o inglês? ,Portuguese into English?! Brasileiros podem fazer versões de qualidade para o inglês?,0.9882352941176471
Financeiro é a mãe: a ciência por trás do 'na volta a gente compra' — Dea Moretto,Financeiro é a mãe: a ciência por trás do 'na volta a gente compra',0.9054054054054054
"Interpretação religiosa: the good, the bad and the ugly — Felipe Pazello e Felipe Santos","Interpretação religiosa: the good, the bad and the ugly",0.7692307692307693
É um livro? É um jogo? É uma HQ? A localização de livros-jogos e seus desafios — Bianca Melyna,É um livro? É um jogo? É uma HQ? A localização de livros-jogos e seus desafios,0.9069767441860465
O tradutor profissional e a globalização — Jorge Rodrigues,O tradutor profissional e a globalização,0.8163265306122449
Hacks de interpretação e minha experiência com interpretação na sede do governo — Leonardo Padovani,Hacks de interpretação e minha experiência com interpretação na sede do governo,0.8876404494382022
RSI 3 anos depois do fim do mundo: um balanço — Aldo Vidor,RSI 3 anos depois do fim do mundo: um balanço,0.8737864077669902
Erros recorrentes em revisão e técnicas para solucioná-los,Erros recorrentes em revisão e técnicas para solucioná-los,1.0
Perdido ou cantando a caminho do banco? Como anda você na profissão um ano depois do mundo mudar?,Perdido ou cantando a caminho do banco? Como anda você na profissão um ano depois do mundo mudar?,1.0
Da Paraíba para o mundo: legendagem de curtas-metragens paraibanos — Victoria Cabral,Da Paraíba para o mundo: legendagem de curtas-metragens paraibanos,0.88
Mentoring: A ferramenta para conseguir uma carreira em tradução — Ana Saldanha,Mentoring: a ferramenta para conseguir uma carreira em tradução,0.8794326241134752
As novas práticas de legendagem com o avanço do streaming — Ygor Blanco,As novas práticas de legendagem com o avanço do streaming,0.890625
Traduzir Machado de Assis: causos e percalços do Bruxo além-fronteiras — Pablo Cardellino,Traduzir Machado de Assis: causos e percalços do Bruxo além-fronteiras,0.8805031446540881
Norma linguística e tradução - o que é traduzir para o português brasileiro? — Marcos Bagno,Norma linguística e tradução — O que é traduzir para o português brasileiro,0.8795180722891566
Tradução técnica: recursos e desafios — Sónia Tavares,Tradução técnica – Recursos e desafios,0.7692307692307693
"Sua amiga, a tradução automática — Silvio Picinini","Sua amiga, a tradução automática",0.7804878048780488
Às voltas com a Babel: profissionalizando a gestão de uma empresa,“Às voltas com a Babel”: profissionalizando a gestão de uma empresa,0.9848484848484849
Gerativismo: A gramática que está escondida no nosso subconsciente — Gii Agria,Gerativismo - A gramática que está escondida no nosso subconsciente,0.896551724137931
Tradução em Direitos Humanos: oportunidades e desafios,Tradução em Direitos Humanos: oportunidades e desafios,1.0
O Jeito que a Gente Diz: em busca da naturalidade,O jeito que a gente diz: em busca da naturalidade,0.9387755102040817
Quem está certo? A eterna batalha entre revisão e tradução — Fabiana Zardo,Quem está certo? A eterna batalha entre revisão e tradução,0.8787878787878788
Vivendo da tradução em Portugal — Raissa Duboc,Vivendo da tradução em Portugal,0.8051948051948052
Como aprimorar sua carreira na tradução com o voluntariado — Karen Tkaczyk e Catherine Christaki,Como aprimorar sua carreira na tradução com o voluntariado,0.7532467532467533
A legendagem na publicidade: particularidades e novas tendências — Dafne Baddini,A legendagem na publicidade: particularidades e novas tendências,0.8888888888888888
De intérprete infantil oficial da família a intérprete profissional! — Katia Georges Chedraoui,De intérprete infantil oficial da família a intérprete profissional!,0.8395061728395061
Legendagem: Descomplicando a Sincronia no Subtitle Edit — Matheus Maggi,Legendagem: Descomplicando a Sincronia no Subtitle Edit,0.873015873015873
"Gestão Financeira: Planejamento, administração e gestão do dinheiro — Rodrigo Anunciato","Gestão Financeira: Planejamento, administração e gestão do dinheiro",0.8701298701298701
EULA: usando a internet a nosso favor — Fernanda Vitarelli,EULA: usando a internet a nosso favor,0.7789473684210526
Translation and Interpreting in the USA — David Rumsey,Translation and Interpreting in the USA,0.8387096774193549
"Preparação de texto, que bicho é esse? — Laura Folgueira","Preparação de texto, que bicho é esse?",0.8085106382978723
Como simplificar seu inglês na tradução técnica — Rômulo Faria,Como simplificar seu inglês na tradução técnica,0.8623853211009175
"Falando de tradução para localização (apps, softwares, sites) — Samira Spolidorio","Falando de tradução para localização (apps, softwares, sites)",0.8591549295774648
Linguagem neutra: a aplicação e seus desafios — Giovana Bomentre,Linguagem neutra: a aplicação e seus desafios,0.8256880733944955
Jornalismo e tradução: tão íntimos e tão estranhos — Patrícia Franco,Jornalismo e tradução: tão íntimos e tão estranhos,0.847457627118644
Filhos e Carreira: lições e dicas de tradutores e intérpretes — Luciane Camargo,Filhos e Carreira: lições e dicas de tradutores e intérpretes,0.8714285714285714
Condições que devemos exigir para a interpretação remota — Tony Rosado,Condições que devemos exigir para a interpretação remota,0.8888888888888888
Como sua mãe já dizia: você não é todo mundo — Regiane Winarski,Como sua mãe já dizia: você não é todo mundo,0.822429906542056
Italiano e português: tão parecidos e tão diferentes — Mauro Moser,Italiano e português: tão parecidos e tão diferentes,0.8813559322033898
Langue x Parole: uma discussão dicotômica “nesSAUSSUREa — Lia Bittencourt,Langue x Parole: uma discussão dicotômica “nesSAUSSUREa”,0.8527131782945736
"Máquinas, política e futebol: traduzindo do alemão — Marcelo Neves","Máquinas, política e futebol: traduzindo do alemão",0.8620689655172413
FAQ de tradutores sobre finanças e investimentos — Isabela Fontanella,FAQ de tradutores sobre finanças e investimentos,0.8205128205128205
A Sétima Maravilha das Organizações Internacionais — Mônica Lange e Claudinei Nunes,A Sétima Maravilha das Organizações Internacionais,0.7518796992481203
Achados de uma mentoria: o que aprendemos ensinando tradução literária — As pretextas,Achados de uma mentoria: o que aprendemos ensinando tradução literária,0.9032258064516129
"A gênese da tradução da obra The Scandals of Translation, de Lawrence Venuti — Marileide Esqueda","A gênese da tradução da obra The Scandals of Translation, de Lawrence Venuti",0.8837209302325582
Indo além da tradução: novos caminhos e oportunidades para profissionais do texto — Luciana e Ivar,Indo além da tradução: novos caminhos e oportunidades para profissionais do texto,0.9050279329608939
Per Aspera Ad Astra: a tradução de High Frontier 4 All — Ricardo Garcia,Per aspera ad astra: a tradução de High Frontier 4 All,0.816
Dicas para otimizar o seu processo de revisão — Luiza Leite Ferreira,Dicas para otimizar o seu processo de revisão,0.7964601769911505
Da boca para o texto escrito — Amarilis Okida,Da boca para o texto escrito,0.7671232876712328
A comunicação intercultural pelos olhos de uma intérprete de japonês — Anna Ligia Pozzetti,A comunicação intercultural pelos olhos de uma intérprete de japonês,0.8607594936708861
Jogo de palavras: localização de jogos de tabuleiro — Paula Pizauro,Jogo de palavras: localização de jogos de tabuleiro,0.864406779661017
Reflexões sobre a criação de recursos visuais a partir de conteúdos textuais — Mariana Casetto,Reflexões sobre a criação de recursos visuais a partir de conteúdos textuais,0.8941176470588236
Closed Caption: legenda com emoção — Diego Marsicano,Closed Caption: legenda com emoção,0.7906976744186046
Ficção histórica: tudo serve para alguma coisa — Monique D'Orazio,Ficção histórica: tudo serve para alguma coisa,0.8288288288288288
Melhores práticas de LQA: um Fail diz tudo? — Andréa Gonçalves Pinto,Melhores práticas de LQA: um Fail diz tudo?,0.7747747747747747
Legendagem em tempo real feita por estenotipia com tradução simultânea — Giovana Lara,Legendagem em tempo real feita por estenotipia com tradução simultânea,0.9032258064516129
Contra o terraplanismo linguístico na tradução — Jorge Davidson e Rane Souza,Contra o terraplanismo linguístico na tradução,0.7540983606557377
"Equipamentos e RSI: o que fazer, o que não fazer, quando chorar — Daniel Maciel","Equipamentos e RSI: o que fazer, o que não fazer, quando chorar",0.8873239436619719
O que é e como funciona uma boutique de tradução jurídica — Bruna Marchi,O que é e como funciona uma boutique de tradução jurídica,0.8837209302325582
Cadê o original que estava aqui? Quando uma tradutora se torna copywriter — Lara Talhaferro,Cadê o original que estava aqui? Quando uma tradutora se torna copywriter,0.8902439024390244
Tradutores juramentados: mitos e verdades — Carolina Ventura,Tradutores juramentados: mitos e verdades,0.8118811881188119
Variantes linguísticas: com que roupa eu vou? — Danny Reis,Variantes linguísticas: com que roupa eu vou?,0.8737864077669902
Interação humano-computador na tradução: dos benefícios aos desafios — Rossana Cunha,Interação humano-computador na tradução: dos benefícios aos desafios,0.8947368421052632
Quality Assurance no cliente: o outro lado da mesa — Priscila Mottola,Quality Assurance no cliente: o outro lado da mesa,0.8403361344537815
Localização de games: linguagem e mídia — Horacio Corral,Localização de games: linguagem e mídia,0.8210526315789474
Mercado de trabalho: Teoria e prática — Isabel Riera,Mercado de trabalho — Teoria e prática,0.8
Uma porta para grandes oportunidades — Wania Grandesso,Uma porta para grandes oportunidades,0.8
"A tradutora roqueira: livros, música e interação com os leitores — Candice Soldatelli","A tradutora roqueira: livros, música e interação com os leitores",0.8590604026845637
Dicionário Gastronômico: receita e degustação — Rozane Rebechi,Dicionário Gastronômico: receita e degustação,0.8411214953271028
Qual é a dimensão do mundo do tradutor? — Juliana Pazetti,Qual é a dimensão do mundo do tradutor?,0.8125
Tradução de textos de turismo e viagem: características e teoria funcionalista — Sofia Pulici,Tradução de textos de turismo e viagem: características e teoria funcionalista,0.9122807017543859
Traduzindo Neil Gaiman e outras criaturas fantásticas — Renata Pettengill,Traduzindo Neil Gaiman e outras criaturas fantásticas,0.8412698412698413
A Tradulação de Krazy Kat e Otros Kuadrinhos Komplicados (sic) — Érico Assis,A Tradulação de Krazy Kat e Otros Kuadrinhos Komplicados (sic),0.8985507246376812
Os paralelos entre o trabalho do tradutor dos serviços de inteligência e o do tradutor freelancer,Os paralelos entre o trabalho do tradutor dos serviços de inteligência e o trabalho do tradutor freelancer,0.9556650246305419
O papel vital de comunicação do revisor — Marsel de Souza,O papel vital de comunicação do revisor,0.8125
As palavras e nossa mitologia pessoal — André Gabeh,As palavras e nossa mitologia pessoal,0.8409090909090909
Do Sul do Brasil ao Norte da América do Norte: como internacionalizei minha carreira no Canadá,Do Sul do Brasil ao Norte da América do Norte: como internacionalizei minha carreira no Canadá,1.0
Born to be global — A importância da tradução de SEO — Luana Santos,Born to be global - A importância da tradução de SEO,0.8571428571428571
Da tendência à palavra: uma introdução à tradução de moda — Júlia Jacóbi,Da tendência à palavra: uma introdução à tradução de moda,0.8837209302325582
Tudo que eu posso dizer sobre tradução audiovisual sem quebrar nenhum sigilo — Daniel Erlich,Tudo que eu posso dizer sobre tradução audiovisual sem quebrar nenhum sigilo,0.9047619047619048
Controle financeiro e a relação cliente-contador — Luidg Quitete,Controle financeiro e relação cliente contador,0.8181818181818182
"Criatividade de milhões, automatismo de centavos — Filipe Alverca","Criatividade de milhões, automatismo de centavos",0.8495575221238938
Masterclass Inteligência Artificial em 2024 — LBM-Avellan,Masterclass Inteligência Artificial em 2024,0.86
Viajando no tempo e na ficção científica: A tradução para dublagem de Time Patrol Bon,Viajando no tempo e na ficção científica - A tradução para dublagem de Time Patrol Bon,0.9824561403508771
Gerentes de projeto: os maestros do setor de tradução e localização,Gerentes de projetos: os maestros do setor de tradução e localização,0.9925925925925926
De tradutora literária a escritora,De tradutora literária a escritora,1.0
Perspectivas da carreira do tradutor com a IA,Perspectivas da carreira do tradutor com a IA,1.0
